class,style,artist,title,source_url,reason
Cubism,cubism,Pablo Picasso,Bust of young woman from Avignon,https://www.wikiart.org/en/pablo-picasso/bust-of-young-woman-from-avignon-1907,title_keyword:Bust
Cubism,cubism,Pablo Picasso,Female bust,https://www.wikiart.org/en/pablo-picasso/female-bust,title_keyword:bust
Cubism,cubism,Pablo Picasso,Nude (Bust),https://www.wikiart.org/en/pablo-picasso/nude-bust-1907,title_keyword:Bust
Cubism,cubism,Pablo Picasso,Bust of woman with flowers,https://www.wikiart.org/en/pablo-picasso/bust-of-woman-with-flowers,title_keyword:Bust
Abstract,abstract-expressionism,Miriam Schapiro,Facade,https://www.wikiart.org/en/miriam-schapiro/facade,title_keyword:Facade
Surrealism,surrealism,Jean Arp,"Relief, Clock",https://www.wikiart.org/en/jean-arp/relief-clock,title_keyword:Relief
Surrealism,surrealism,Pablo Picasso,Still life with antique bust,https://www.wikiart.org/en/pablo-picasso/still-life-with-antique-bust-1925,title_keyword:bust
Surrealism,surrealism,Pablo Picasso,The sculpture,https://www.wikiart.org/en/pablo-picasso/the-sculpture-1925,title_keyword:sculpture
